mode,batch,previous,vector,file_search,windows_in,ssh_in,windows_out,ssh_out,allowed
GENERATE,False,False,False,False,False,False,False,False,True
GENERATE,False,False,False,False,False,False,False,True,True
GENERATE,False,False,False,False,False,False,True,False,True
GENERATE,False,False,False,False,False,False,True,True,True
GENERATE,False,False,False,False,False,True,False,False,True
GENERATE,False,False,False,False,False,True,False,True,True
GENERATE,False,False,False,False,False,True,True,False,True
GENERATE,False,False,False,False,False,True,True,True,True
GENERATE,False,False,False,False,True,False,False,False,True
GENERATE,False,False,False,False,True,False,False,True,True
GENERATE,False,False,False,False,True,False,True,False,True
GENERATE,False,False,False,False,True,False,True,True,True
GENERATE,False,False,False,False,True,True,False,False,True
GENERATE,False,False,False,False,True,True,False,True,True
GENERATE,False,False,False,False,True,True,True,False,True
GENERATE,False,False,False,False,True,True,True,True,True
GENERATE,False,False,False,True,False,False,False,False,True
GENERATE,False,False,False,True,False,False,False,True,True
GENERATE,False,False,False,True,False,False,True,False,True
GENERATE,False,False,False,True,False,False,True,True,True
GENERATE,False,False,False,True,False,True,False,False,True
GENERATE,False,False,False,True,False,True,False,True,True
GENERATE,False,False,False,True,False,True,True,False,True
GENERATE,False,False,False,True,False,True,True,True,True
GENERATE,False,False,False,True,True,False,False,False,True
GENERATE,False,False,False,True,True,False,False,True,True
GENERATE,False,False,False,True,True,False,True,False,True
GENERATE,False,False,False,True,True,False,True,True,True
GENERATE,False,False,False,True,True,True,False,False,True
GENERATE,False,False,False,True,True,True,False,True,True
GENERATE,False,False,False,True,True,True,True,False,True
GENERATE,False,False,False,True,True,True,True,True,True
GENERATE,False,False,True,False,False,False,False,False,False
GENERATE,False,False,True,False,False,False,False,True,False
GENERATE,False,False,True,False,False,False,True,False,False
GENERATE,False,False,True,False,False,False,True,True,False
GENERATE,False,False,True,False,False,True,False,False,False
GENERATE,False,False,True,False,False,True,False,True,False
GENERATE,False,False,True,False,False,True,True,False,False
GENERATE,False,False,True,False,False,True,True,True,False
GENERATE,False,False,True,False,True,False,False,False,False
GENERATE,False,False,True,False,True,False,False,True,False
GENERATE,False,False,True,False,True,False,True,False,False
GENERATE,False,False,True,False,True,False,True,True,False
GENERATE,False,False,True,False,True,True,False,False,False
GENERATE,False,False,True,False,True,True,False,True,False
GENERATE,False,False,True,False,True,True,True,False,False
GENERATE,False,False,True,False,True,True,True,True,False
GENERATE,False,False,True,True,False,False,False,False,True
GENERATE,False,False,True,True,False,False,False,True,True
GENERATE,False,False,True,True,False,False,True,False,True
GENERATE,False,False,True,True,False,False,True,True,True
GENERATE,False,False,True,True,False,True,False,False,True
GENERATE,False,False,True,True,False,True,False,True,True
GENERATE,False,False,True,True,False,True,True,False,True
GENERATE,False,False,True,True,False,True,True,True,True
GENERATE,False,False,True,True,True,False,False,False,True
GENERATE,False,False,True,True,True,False,False,True,True
GENERATE,False,False,True,True,True,False,True,False,True
GENERATE,False,False,True,True,True,False,True,True,True
GENERATE,False,False,True,True,True,True,False,False,True
GENERATE,False,False,True,True,True,True,False,True,True
GENERATE,False,False,True,True,True,True,True,False,True
GENERATE,False,False,True,True,True,True,True,True,True
GENERATE,False,True,False,False,False,False,False,False,True
