============================= test session starts =============================
platform win32 -- Python 3.13.15, pytest-9.1.1, pluggy-1.6.0 -- C:\hostedtoolcache\windows\Python\3.13.15\x64\python.exe
cachedir: .pytest_cache
PySide6 6.11.2 -- Qt runtime 6.11.2 -- Qt compiled 6.11.2
rootdir: D:\a\KajovoNG\KajovoNG
configfile: pyproject.toml
testpaths: tests
plugins: anyio-4.15.1, cov-7.1.0, qt-4.5.0
collecting ... collected 1421 items

tests/test_api_client.py::test_paginated_files_are_complete PASSED       [  0%]
tests/test_api_client.py::test_sdk_mutation_failure_does_not_repeat_via_rest PASSED [  0%]
tests/test_api_client.py::test_resource_id_cannot_change_endpoint[../files/file-other] PASSED [  0%]
tests/test_api_client.py::test_resource_id_cannot_change_endpoint[file-a?limit=1] PASSED [  0%]
tests/test_api_client.py::test_resource_id_cannot_change_endpoint[file-a#fragment] PASSED [  0%]
tests/test_api_client.py::test_resource_id_cannot_change_endpoint[] PASSED [  0%]
tests/test_api_client.py::test_resource_id_cannot_change_endpoint[file-a/b] PASSED [  0%]
tests/test_api_client.py::test_multipart_header_and_retry_rewind PASSED  [  0%]
tests/test_api_client.py::OpenAIClientErrorMappingTests::test_raises_openai_error_for_non_retryable_http PASSED [  0%]
tests/test_api_client.py::OpenAIClientErrorMappingTests::test_retries_on_timeout_then_succeeds PASSED [  0%]
tests/test_api_key_store.py::test_saved_key_wins_over_missing_or_stale_environment[] PASSED [  0%]
tests/test_api_key_store.py::test_saved_key_wins_over_missing_or_stale_environment[star\xfd-testovac\xed-kl\xed\u010d] PASSED [  0%]
tests/test_api_key_store.py::test_no_saved_entry_uses_environment PASSED [  0%]
tests/test_api_key_store.py::test_explicit_delete_survives_stale_parent_environment PASSED [  0%]
tests/test_api_key_store.py::test_legacy_registry_key_is_migrated_after_verified_keyring_write PASSED [  1%]
tests/test_api_key_store.py::test_legacy_explicit_empty_is_migrated_as_explicit_empty PASSED [  1%]
tests/test_api_key_store.py::test_failed_keyring_write_preserves_old_credential PASSED [  1%]
tests/test_api_key_store.py::test_failed_verification_restores_previous_credential PASSED [  1%]
tests/test_api_key_store.py::test_registry_read_failure_is_not_silent_when_keyring_is_empty PASSED [  1%]
tests/test_api_key_store.py::test_invalid_registry_type_is_rejected PASSED [  1%]
tests/test_api_key_store.py::test_keyring_read_failure_keeps_legacy_compatibility PASSED [  1%]
tests/test_api_key_store.py::test_failed_migration_keeps_legacy_record PASSED [  1%]
tests/test_api_key_store.py::test_legacy_delete_failure_rolls_back_new_credential PASSED [  1%]
tests/test_architecture_contracts.py::test_production_ui_does_not_import_legacy_desktop PASSED [  1%]
tests/test_architecture_contracts.py::test_core_does_not_depend_on_ui_packages PASSED [  1%]
tests/test_architecture_contracts.py::test_new_runs_layer_is_qt_free PASSED [  1%]
tests/test_architecture_contracts.py::test_app_entrypoint_uses_studio_factory PASSED [  1%]
tests/test_architecture_contracts.py::test_distribution_excludes_legacy_desktop_package PASSED [  1%]
tests/test_architecture_contracts.py::test_compatibility_renderer_targets_production_studio PASSED [  2%]
tests/test_attachments.py::test_file_search_formats[code.go-True] PASSED [  2%]
tests/test_attachments.py::test_file_search_formats[slides.pptx-True] PASSED [  2%]
tests/test_attachments.py::test_file_search_formats[code.CPP-True] PASSED [  2%]
tests/test_attachments.py::test_file_search_formats[data.csv-False] PASSED [  2%]
tests/test_attachments.py::test_file_search_formats[config.yaml-False] PASSED [  2%]
tests/test_attachments.py::test_file_search_formats[archive.zip-False] PASSED [  2%]
tests/test_attachments.py::test_input_size_rejects_invalid_or_excessive_total[metadata0] PASSED [  2%]
tests/test_attachments.py::test_input_size_rejects_invalid_or_excessive_total[metadata1] PASSED [  2%]
tests/test_attachments.py::test_input_size_rejects_invalid_or_excessive_total[metadata2] PASSED [  2%]
tests/test_attachments.py::test_input_size_rejects_invalid_or_excessive_total[metadata3] PASSED [  2%]
tests/test_attachments.py::test_input_size_rejects_invalid_or_excessive_total[metadata4] PASSED [  2%]
tests/test_attachments.py::test_input_size_boundary PASSED               [  2%]
tests/test_attachments.py::test_unsupported_file_is_not_indexed PASSED   [  2%]
tests/test_batch_completion.py::test_completion_survives_restart_without_paid_calls[False] PASSED [  3%]
tests/test_batch_completion.py::test_completion_survives_restart_without_paid_calls[True] PASSED [  3%]
tests/test_batch_completion.py::test_import_archives_from_out_and_seals_after_evidence PASSED [  3%]
tests/test_batch_completion.py::test_running_batch_is_normal_wait_without_writes[validating] PASSED [  3%]
tests/test_batch_completion.py::test_running_batch_is_normal_wait_without_writes[in_progress] PASSED [  3%]
