ui_element,handler,domain_operation,result,error_state,related_contract_test
comic.new,create_project,ComicStore.project,Projekt a audit,invalid_input,test_studio_comic_crud_and_panel_save
comic.refresh,refresh_projects,ComicStore.rows,Otevření uložených projektů,db_failure,test_project_persistence_trash_and_revision
comic.duplicate,duplicate_project,ComicService.duplicate_project,Nová kopie a přemapované entity,storage_failure,test_duplicate_remaps_entities_and_has_no_jobs
comic.trash,trash_project,ComicStore.trash,Vratný koš,operation_active,test_project_persistence_trash_and_revision
comic.token.insert,insert_token,EntityPromptEdit.insert_entity,Atomický uzel AST,broken_reference při uložení,test_atomic_chip_delete_undo_copy_and_roundtrip
comic.panel.save,save_panel,ComicStore.save_panel,"Prompt, vazby, formát a verze vrstev",revision_conflict,test_studio_comic_crud_and_panel_save
comic.panel.validate,validate_panel,ComicService.compile_panel,Lokální ověření bez placeného requestu,too_many_references / broken_reference,test_compiler_entity_combinations
comic.panel.new,add_panel,ComicStore.panel,Nový samostatný panel,missing_project,test_studio_comic_crud_and_panel_save
comic.panel.duplicate,panel_action,ComicStore.panel_action(duplicate),Nové samostatné zadání,missing_panel,test_studio_comic_crud_and_panel_save
comic.panel.up / comic.panel.down,panel_action,ComicStore.panel_action(up/down),Trvalé pořadí,missing_panel,test_panel_order_delete_and_pending_guard
comic.panel.delete,panel_action,ComicStore.panel_action(delete),Logické odstranění,operation_active,test_panel_order_delete_and_pending_guard
comic.panel.generate,generate_panels,ComicService.start_panels/run,"JSONL, provider dávky a verze",partial / submission_unknown,test_desktop_end_to_end_with_isolated_provider
comic.panel.edit,edit_panel,ComicService.start_panels(edit),Kandidátní verze kresby,missing_version,test_edit_creates_candidate_and_restore_preserves_history
comic.panel.export,export_panel,render_panel / QSaveFile,Atomický export rastru,text_overflow / storage_failure / protected_path,test_desktop_end_to_end_with_isolated_provider
comic.version.accept,restore_version,ComicStore.restore_version,"Aktivní verze, vrstvy a rozměry",invalid_input,test_canvas_edit_and_restore_keep_original
comic.style.refs,add_style_refs,ComicService.import_references,Originál a pracovní reference,unsupported_image_format / image_too_large,test_corrupt_input_never_uploads
comic.style.remove_refs,remove_style_refs,ComicStore.remove_references,Odebrané aktivní vazby,revision_conflict,test_reference_removal_preserves_historical_assets
comic.style.save,save_style,ComicStore.update_project,Volby a revize projektu,invalid_input / revision_conflict,test_switching_project_preserves_unsaved_style
comic.bible.generate,generate_bible,ComicService.start_bible/run,Validovaná revize bible,response_pending / invalid_output,test_bible_real_request_contract_and_saved_revision
comic.job.resume,resume_selected,ComicService.run,Pokračování uložené operace,submission_unknown,test_storage_failure_resumes_from_downloaded_archive
comic.job.retry,retry_selected,ComicService.retry_failed,Nová operace jen pro chyby,nothing_to_retry,test_batch_partial_retry_and_resume
comic.job.cancel,cancel_selected,ComicService.cancel,Zrušení a převzetí hotových položek,cancel_unavailable,test_cancel_before_submission_never_calls_provider
comic.job.details,job_details,ComicStore.get/rows,"Snapshoty, usage, výsledky a chyby",missing_record,test_batch_partial_retry_and_resume
Přidat text / Odstranit text / textová pole / posun bubliny,OverlayEditor,ComicStore.save_panel,Verzované přesné textové vrstvy,sfx_disabled / text_overflow,test_export_text_has_dark_ink_under_studio_theme
project selector / style fields,select_project / save_style,ComicStore.update_project,Uložený styl před přepnutím,revision_conflict,test_switching_project_preserves_unsaved_style
panel selector / prompt / format fields,select_panel / save_panel,ComicStore.save_panel,Verzovaný dokument a vlastní rozměry,invalid_format / invalid_document,test_studio_comic_crud_and_panel_save
bible revision selector / panel version selector,show_bible / preview_version,ComicStore.get / asset_path,Zobrazení uložené revize,missing_asset,test_bible_real_request_contract_and_saved_revision
comic.character.new,add_entity,ComicStore.entity,Nová entita,invalid_input,test_entity_generated_from_references
comic.character.generate,generate_entity,ComicService.start_entity/run,Descriptor a referenční list,missing_reference / submission_unknown,test_entity_generated_from_references
comic.character.refs,add_entity_refs,ComicService.import_references,Ověřené původní a pracovní obrázky,too_many_references,test_entity_generated_from_references
comic.character.edit,edit_entity,ComicStore.update_entity,Uložené jméno a popis,revision_conflict,test_reference_change_invalidates_canonical_entity
comic.character.remove_refs,remove_entity_refs,ComicStore.remove_references,Odebrané aktivní podklady,broken_reference,test_reference_removal_preserves_historical_assets
comic.character.show,show_entity,ComicStore.asset_path,Soukromý náhled a descriptor,missing_reference,test_entity_generated_from_references
comic.character.archive,archive_entity,ComicStore.archive_entity,Archivace nebo obnova,broken_reference při kompilaci,test_archived_and_foreign_reference_rejected
comic.environment.new,add_entity,ComicStore.entity,Nová entita,invalid_input,test_entity_generated_from_references
comic.environment.generate,generate_entity,ComicService.start_entity/run,Descriptor a referenční list,missing_reference / submission_unknown,test_entity_generated_from_references
comic.environment.refs,add_entity_refs,ComicService.import_references,Ověřené původní a pracovní obrázky,too_many_references,test_entity_generated_from_references
comic.environment.edit,edit_entity,ComicStore.update_entity,Uložené jméno a popis,revision_conflict,test_reference_change_invalidates_canonical_entity
comic.environment.remove_refs,remove_entity_refs,ComicStore.remove_references,Odebrané aktivní podklady,broken_reference,test_reference_removal_preserves_historical_assets
comic.environment.show,show_entity,ComicStore.asset_path,Soukromý náhled a descriptor,missing_reference,test_entity_generated_from_references
comic.environment.archive,archive_entity,ComicStore.archive_entity,Archivace nebo obnova,broken_reference při kompilaci,test_archived_and_foreign_reference_rejected
